origin_iso3,hs4,partner_iso3,destination_gnn_logit,destination_gnn_score,supply_gnn_logit,supply_gnn_score,market_data_available,destination_import_value,destination_import_growth,market_concentration,competitor_count,mkd_existing_export_value,mkd_historical_export_value,mkd_bilateral_trade,gravity_data_available,distance,contiguous,common_language,fta,macro_data_available,destination_gdp,destination_gdp_pc,destination_population,mkd_supply_capacity,mkd_supply_growth,tariff_data_available,tariff_rate,section,score,rank,ranking_score,predicted_probability,probability_lower,probability_upper,average_rank,rank_std,rank_stability,ensemble_score,ensemble_rank,ensemble_method
MKD,2621,CHN,0.596811,0.644926,0.333488,0.582608,1.000000,1309660.000000,3.067952,0.529269,2.000000,0.000000,0.000000,2065915196.610000,1.000000,8507.000000,0.000000,0.000000,0.000000,1.000000,14147765772963.800781,10085.663815,1402760000.000000,0.000000,0.000000,0.000000,0.000000,26,0.899120,34,20.369822,0.899120,0.312005,1.000000,5789.142857,12208.996450,0.000082,0.899120,34,validation_pairwise_bootstrap
MKD,8421,ITA,0.558223,0.636041,0.310515,0.577011,1.000000,1626586690.755000,0.062278,0.153293,115.000000,4026.870000,642962.930000,2309068098.890000,1.000000,742.000000,0.000000,0.000000,1.000000,1.000000,2099435266458.669922,35062.336418,59877221.000000,611623060.000000,0.354288,0.000000,0.000000,84,0.863739,35,20.353663,0.863739,0.000375,1.000000,3056.190476,11477.442824,0.000087,0.863739,35,validation_pairwise_bootstrap
MKD,3815,CZE,0.465255,0.614260,0.284319,0.570605,1.000000,522203614.000000,0.094025,0.245109,46.000000,606.900000,950020.920000,591061590.760000,1.000000,1049.000000,0.000000,0.000000,1.000000,1.000000,251992360762.235992,23705.932981,10629928.000000,1218848015.000000,1.127857,0.000000,0.000000,38,0.857674,36,20.353159,0.857674,0.000218,1.000000,3245.190476,8140.178398,0.000123,0.857674,36,validation_pairwise_bootstrap
MKD,8544,ITA,0.582139,0.641559,0.332369,0.582336,1.000000,2216845953.547000,0.064569,0.076170,110.000000,68448.900000,76446.340000,2309068098.890000,1.000000,742.000000,0.000000,0.000000,1.000000,1.000000,2099435266458.669922,35062.336418,59877221.000000,504057867.000000,0.193033,0.000000,0.000000,85,0.858921,37,20.306767,0.858921,0.000285,1.000000,2962.523810,11137.268848,0.000090,0.858921,37,validation_pairwise_bootstrap
MKD,3915,TUR,0.561122,0.636712,0.384689,0.595004,1.000000,112492693.000000,0.476910,0.073628,91.000000,10261.450000,135722.500000,1717497910.950000,1.000000,637.000000,0.000000,0.000000,1.000000,1.000000,788356985773.666992,9684.118199,81407204.000000,3479970.000000,0.321353,0.000000,0.000000,39,0.843992,38,20.304599,0.843992,0.000640,1.000000,1843.571429,6307.575820,0.000159,0.843992,38,validation_pairwise_bootstrap
MKD,7602,TUR,0.587917,0.642887,0.425282,0.604746,1.000000,128694458.000000,0.337945,0.109733,62.000000,25299.890000,355928.740000,1717497910.950000,1.000000,637.000000,0.000000,0.000000,1.000000,1.000000,788356985773.666992,9684.118199,81407204.000000,4506269.000000,0.163297,0.000000,0.000000,76,0.831766,39,20.258847,0.831766,0.000239,1.000000,1983.142857,6088.353068,0.000164,0.831766,39,validation_pairwise_bootstrap
MKD,9508,SRB,0.437171,0.607585,0.327427,0.581133,1.000000,921689.000000,0.926711,0.336594,24.000000,56640.630000,93913.810000,3684071029.560000,1.000000,323.000000,1.000000,0.000000,0.000000,1.000000,52787520248.924202,7559.861657,6982604.000000,4416147.000000,0.510677,0.000000,0.000000,95,0.853965,40,20.242334,0.853965,0.027685,1.000000,1486.523810,3435.853032,0.000291,0.853965,40,validation_pairwise_bootstrap
MKD,9401,ITA,0.545438,0.633076,0.303001,0.575176,1.000000,1150346422.763000,0.056836,0.142032,113.000000,72518.470000,351606.770000,2309068098.890000,1.000000,742.000000,0.000000,0.000000,1.000000,1.000000,2099435266458.669922,35062.336418,59877221.000000,216666095.000000,0.304506,0.000000,0.000000,94,0.864190,41,20.237103,0.864190,0.000441,1.000000,3178.238095,11672.497015,0.000086,0.864190,41,validation_pairwise_bootstrap
MKD,7308,ITA,0.589831,0.643326,0.341538,0.584564,1.000000,419631721.019000,0.115985,0.110236,90.000000,26125.870000,1299839.840000,2309068098.890000,1.000000,742.000000,0.000000,0.000000,1.000000,1.000000,2099435266458.669922,35062.336418,59877221.000000,26511659.000000,0.117015,0.000000,0.000000,73,0.856098,42,20.214203,0.856098,0.000422,1.000000,3014.809524,11465.872399,0.000087,0.856098,42,validation_pairwise_bootstrap
MKD,3815,ESP,0.506498,0.623985,0.284319,0.570605,1.000000,386093699.234000,0.191748,0.181462,51.000000,0.000000,96362.500000,679512645.430000,1.000000,2108.000000,0.000000,0.000000,1.000000,1.000000,1431642809327.060059,30602.421288,46782011.000000,1218848015.000000,1.127857,0.000000,0.000000,38,0.857706,43,20.203677,0.857706,0.000193,1.000000,3842.095238,9935.274410,0.000101,0.857706,43,validation_pairwise_bootstrap
MKD,2106,DEU,0.575536,0.640040,0.352062,0.587118,1.000000,1808887895.154000,0.071715,0.081289,111.000000,63501.060000,166149.520000,11127176930.459999,1.000000,1316.000000,0.000000,0.000000,1.000000,1.000000,4055433215301.959961,48916.168661,82905782.000000,12859744.000000,0.272049,0.000000,0.000000,21,0.856595,44,20.203663,0.856595,0.000254,1.000000,3020.523810,11138.487927,0.000090,0.856595,44,validation_pairwise_bootstrap
MKD,7602,DEU,0.630848,0.652682,0.425282,0.604746,1.000000,1402845015.623000,0.091081,0.098769,76.000000,26007.900000,26007.900000,11127176930.459999,1.000000,1316.000000,0.000000,0.000000,1.000000,1.000000,4055433215301.959961,48916.168661,82905782.000000,4506269.000000,0.163297,0.000000,0.000000,76,0.839366,45,20.151281,0.839366,0.000062,1.000000,2898.904762,9800.087662,0.000102,0.839366,45,validation_pairwise_bootstrap
MKD,8507,TUR,0.497217,0.621805,0.305049,0.575676,1.000000,519133365.000000,0.233370,0.187064,83.000000,5894.950000,2512003.500000,1717497910.950000,1.000000,637.000000,0.000000,0.000000,1.000000,1.000000,788356985773.666992,9684.118199,81407204.000000,87953561.000000,0.365410,0.000000,0.000000,85,0.858674,46,20.095718,0.858674,0.000944,1.000000,2892.619048,10105.801123,0.000099,0.858674,46,validation_pairwise_bootstrap
MKD,8532,DEU,0.508133,0.624369,0.289612,0.571901,1.000000,2421230252.165000,0.196758,0.146092,81.000000,27118.970000,55762.790000,11127176930.459999,1.000000,1316.000000,0.000000,0.000000,1.000000,1.000000,4055433215301.959961,48916.168661,82905782.000000,12879480.000000,0.531189,0.000000,0.000000,85,0.869243,47,20.091441,0.869243,0.000597,1.000000,3621.761905,11873.206699,0.000084,0.869243,47,validation_pairwise_bootstrap
MKD,7216,DEU,0.567407,0.638165,0.342464,0.584789,1.000000,1079154894.190000,0.125668,0.133612,61.000000,43101.400000,169485.650000,11127176930.459999,1.000000,1316.000000,0.000000,0.000000,1.000000,1.000000,4055433215301.959961,48916.168661,82905782.000000,16231379.000000,0.163704,0.000000,0.000000,72,0.858045,48,20.088205,0.858045,0.000314,1.000000,3222.809524,11841.788124,0.000084,0.858045,48,validation_pairwise_bootstrap
