hs4,gnn_logit,gnn_score,score,density,pci,cog,complexity_gain,section,rank,global_demand_value,global_demand_growth,global_market_concentration,historical_active_years,historical_export_persistence,supply_capacity,gnn_logit_percentile,gnn_score_percentile,density_percentile,pci_percentile,cog_percentile,global_demand_value_percentile,global_demand_growth_percentile,supply_capacity_percentile,adamic_adar,jaccard,cn,pref_attach,ranking_score,predicted_probability,probability_lower,probability_upper,average_rank,rank_std,rank_stability,ensemble_score,ensemble_rank,ensemble_method
5104,0.289519,0.571878,0.020743,0.115469,1.133221,0.713716,,51,39,5967257.000000,0.038162,0.188716,2.000000,1.000000,3148169,0.174603,0.174603,0.421164,0.449735,0.616931,0.003175,0.798942,0.296296,0.000000,0.000000,0.000000,24674.000000,-249.057053,0.020743,0.018263,0.022785,43.523810,15.506125,0.060584,0.020743,39,validation_pairwise_bootstrap
2516,0.333938,0.582717,0.020695,0.179178,-1.745029,-0.249808,,25,40,1804678291.000000,-0.032653,0.239712,19.000000,19.000000,63461388,0.903704,0.903704,0.960847,0.080423,0.043386,0.419048,0.209524,0.721164,,,,,-249.067121,0.020695,0.018781,0.022365,44.095238,10.391868,0.087782,0.020695,40,validation_pairwise_bootstrap
9406,0.326284,0.580855,0.020848,0.163984,1.093200,0.456575,,94,41,8520728333.000000,0.002244,0.056598,19.000000,19.000000,264170323,0.831746,0.831746,0.896296,0.440212,0.408466,0.732275,0.451852,0.815873,,,,,-249.072109,0.020848,0.019230,0.022459,42.285714,7.917087,0.112144,0.020848,41,validation_pairwise_bootstrap
5206,0.313019,0.577622,0.020726,0.161045,-0.289222,0.210456,,52,42,1612778484.000000,0.002531,0.142639,15.000000,9.000000,11955924,0.637037,0.637037,0.875132,0.212698,0.247619,0.393651,0.455026,0.532275,,,,,-249.076677,0.020726,0.019322,0.022284,43.666667,8.801154,0.102029,0.020726,42,validation_pairwise_bootstrap
2505,0.334456,0.582843,0.020773,0.163421,-0.577602,-0.010948,,25,43,1735533889.000000,0.005587,0.113587,19.000000,19.000000,63461388,0.906878,0.906878,0.891005,0.180952,0.130159,0.412698,0.492063,0.721164,,,,,-249.077329,0.020773,0.019488,0.022234,43.095238,6.331364,0.136400,0.020773,43,validation_pairwise_bootstrap
7320,0.296502,0.573587,0.020704,0.138365,3.084738,1.021758,,73,44,6965825640.000000,0.018878,0.088643,19.000000,19.000000,234437714,0.275132,0.275132,0.714286,0.862434,0.868783,0.686772,0.643386,0.806878,,,,,-249.077385,0.020704,0.019635,0.021779,43.619048,8.968071,0.100320,0.020704,44,validation_pairwise_bootstrap
5212,0.311757,0.577314,0.020612,0.137814,-0.327470,0.315225,,52,45,833588052.000000,-0.042734,0.112825,18.000000,18.000000,11955924,0.613757,0.613757,0.705820,0.209524,0.298413,0.262434,0.159788,0.532275,,,,,-249.090816,0.020612,0.019360,0.021559,44.761905,9.753655,0.092992,0.020612,45,validation_pairwise_bootstrap
5806,0.321682,0.579734,0.020506,0.166118,1.607154,0.000000,,58,46,4321772952.000000,0.047937,0.174205,19.000000,19.000000,3441565,0.778836,0.778836,0.906878,0.556614,0.142328,0.583069,0.851852,0.304233,,,,,-249.106609,0.020506,0.018730,0.022038,46.380952,11.428770,0.080458,0.020506,46,validation_pairwise_bootstrap
8416,0.299546,0.574331,0.020247,0.122200,2.681212,0.948436,,84,47,2551806641.000000,-0.026388,0.135060,17.000000,9.000000,686694105,0.324868,0.324868,0.524868,0.798942,0.813757,0.493122,0.243386,0.879894,,,,,-249.135652,0.020247,0.018450,0.022256,49.142857,13.463480,0.069140,0.020247,47,validation_pairwise_bootstrap
8442,0.303418,0.575278,0.020224,0.125726,2.672568,1.008953,,84,48,1470510382.000000,-0.113690,0.082441,19.000000,19.000000,686694105,0.416931,0.416931,0.561905,0.794709,0.858201,0.370370,0.028571,0.879894,,,,,-249.141089,0.020224,0.017992,0.021669,49.238095,13.550276,0.068727,0.020224,48,validation_pairwise_bootstrap
0814,0.316961,0.578584,0.020196,0.162166,-1.712700,-0.140823,,08,49,96461420.000000,0.004333,0.105279,2.000000,1.000000,50975565,0.720635,0.720635,0.883598,0.081481,0.086772,0.048677,0.469841,0.707407,0.000000,0.000000,0.000000,74971.000000,-249.150041,0.020196,0.018833,0.021633,49.666667,9.741093,0.093100,0.020196,49,validation_pairwise_bootstrap
6212,0.331350,0.582088,0.020021,0.181679,-0.614257,0.047569,,62,50,10502601305.000000,0.005835,0.149795,19.000000,19.000000,386897808,0.883598,0.883598,0.971429,0.177778,0.164021,0.766138,0.495238,0.818519,,,,,-249.183267,0.020021,0.018444,0.021773,51.809524,9.225323,0.097796,0.020021,50,validation_pairwise_bootstrap
